BusinessEntityID,EmployeeFirstName,EmployeeLastName,EmployeeName,JobTitle,DepartmentName,BirthDate,MaritalStatus,Gender,HireDate
257,Eric,Kurjan,Eric Kurjan,Buyer,Purchasing,1977-08-17,Single,Male,2014-12-27
258,Erin,Hagens,Erin Hagens,Buyer,Purchasing,1975-12-04,Single,Female,2014-12-31
259,Ben,Miller,Ben Miller,Buyer,Purchasing,1978-05-03,Married,Male,2015-02-09
260,Annette,Hill,Annette Hill,Purchasing Assistant,Purchasing,1982-12-29,Married,Female,2015-11-06
261,Reinout,Hillmann,Reinout Hillmann,Purchasing Assistant,Purchasing,1982-12-17,Married,Male,2015-11-25
262,David,Barber,David Barber,Assistant to the Chief Financial Officer,Finance,1969-05-21,Single,Male,2013-12-12
263,Jean,Trenary,Jean Trenary,Information Services Manager,Information Services,1980-11-13,Single,Female,2013-11-11
264,Stephanie,Conroy,Stephanie Conroy,Network Manager,Information Services,1989-02-25,Single,Female,2014-01-04
265,Ashvini,Sharma,Ashvini Sharma,Network Administrator,Information Services,1982-02-27,Single,Male,2013-11-04
266,Peter,Connelly,Peter Connelly,Network Administrator,Information Services,1985-04-28,Single,Male,2014-01-23
267,Karen,Berg,Karen Berg,Application Specialist,Information Services,1983-04-19,Single,Female,2014-01-16
268,Ramesh,Meyyappan,Ramesh Meyyappan,Application Specialist,Information Services,1993-02-13,Single,Male,2014-01-03
269,Dan,Bacon,Dan Bacon,Application Specialist,Information Services,1992-04-26,Married,Male,2013-12-11
270,François,Ajenstat,François Ajenstat,Database Administrator,Information Services,1980-04-17,Single,Male,2013-12-17
271,Dan,Wilson,Dan Wilson,Database Administrator,Information Services,1980-12-06,Married,Male,2013-12-22
272,Janaina,Bueno,Janaina Bueno,Application Specialist,Information Services,1989-12-30,Married,Female,2013-11-23
273,Brian,Welcker,Brian Welcker,Vice President of Sales,Sales,1982-05-06,Single,Male,2016-01-15
274,Stephen,Jiang,Stephen Jiang,North American Sales Manager,Sales,1956-09-17,Married,Male,2015-12-04
275,Michael,Blythe,Michael Blythe,Sales Representative,Sales,1973-11-25,Single,Male,2016-04-30
276,Linda,Mitchell,Linda Mitchell,Sales Representative,Sales,1985-01-27,Married,Female,2016-04-30
277,Jillian,Carson,Jillian Carson,Sales Representative,Sales,1967-07-29,Single,Female,2016-04-30
278,Garrett,Vargas,Garrett Vargas,Sales Representative,Sales,1980-01-04,Married,Male,2016-04-30
279,Tsvi,Reiter,Tsvi Reiter,Sales Representative,Sales,1978-12-18,Married,Male,2016-04-30
280,Pamela,Ansman-Wolfe,Pamela Ansman-Wolfe,Sales Representative,Sales,1979-11-06,Single,Female,2016-04-30
281,Shu,Ito,Shu Ito,Sales Representative,Sales,1973-02-09,Married,Male,2016-04-30
282,José,Saraiva,José Saraiva,Sales Representative,Sales,1968-11-11,Married,Male,2016-04-30
283,David,Campbell,David Campbell,Sales Representative,Sales,1979-01-11,Single,Male,2016-04-30
284,Tete,Mensa-Annan,Tete Mensa-Annan,Sales Representative,Sales,1982-12-05,Married,Male,2017-08-30
285,Syed,Abbas,Syed Abbas,Pacific Sales Manager,Sales,1979-12-11,Married,Male,2018-02-14
286,Lynn,Tsoflias,Lynn Tsoflias,Sales Representative,Sales,1982-01-14,Single,Female,2018-04-30
287,Amy,Alberts,Amy Alberts,European Sales Manager,Sales,1962-08-20,Married,Female,2017-03-16
288,Rachel,Valdez,Rachel Valdez,Sales Representative,Sales,1980-06-09,Single,Female,2018-04-30
289,Jae,Pak,Jae Pak,Sales Representative,Sales,1973-02-17,Married,Female,2017-04-30
290,Ranjit,Varkey Chudukatil,Ranjit Varkey Chudukatil,Sales Representative,Sales,1980-08-30,Single,Male,2017-04-30
